韩文程的会议室-说话人01(00:00:00): 两个地方我觉得可以明显一点。
韩文程的会议室-说话人02(00:24:54): 我上一个 S 里面稍等一下。我找一个没有。对因为我现在是工单已完成，立马给他算结算，那我们这里相当于是不给他算结算，就多一个状态，多一个，比如说是结算佣金，让运维那边去来判断。

刘书言(00:25:13): 对有什么，你在代理商那里加个待结算，你的代理商那里加一个什么待结算，你这边的运维开完工单了，然后代理商那里就是有你可以算有一笔钱在那，但是提不出来嘛。

韩文程的会议室-说话人02(00:25:20): 他们。才会产生佣金，我现在就是把佣金和状态混到一块了，是两个都在这个里边。然后我就单独抽出来了，就是现在我们的开通就比如说你开通了10个，我就还是用那个还是说工单已完成，现在我已经开通了。然后按照刚才咱们说要结算佣金，你现在我现在后边播一个状态。

韩文程的会议室-说话人01(00:25:43): 你现在我现在后边多一个状态，你现在搞这个其实是没有问题的，无非就是今天我提出来那个30天的冷静期嘛，等于是因为你开封跟咱前10到口袋是有30天的期限的。

韩文程的会议室-说话人02(00:25:58): 所以说开通是开通了佣金是佣金，所以说他俩现在货在。

韩文程的会议室-说话人01(00:26:02): 现在后三天。

韩文程的会议室-说话人02(00:26:04): 对我的意思还是给它抽出来算了。

韩文程的会议室-说话人01(00:26:06): 没问题。

韩文程的会议室-说话人02(00:26:07): 给他抽出来，到时候让交付人员就是晚两天去接待中心也是没问题的，反正到时候都是内部人员。

韩文程的会议室-说话人03(00:26:14): 结算佣金不用在交付这里看。

韩文程的会议室-说话人03(00:26:17): 对。

韩文程的会议室-说话人02(00:26:18): 那现在各个人？在代理或者财务在销售的人可能是在销售，什么时候触发这个给他集团？

韩文程的会议室-说话人03(00:26:19): 代理或者财务在销售这边看。过30天才去触发这个状态。

韩文程的会议室-说话人02(00:26:27): 我开通了之后我才能。

韩文程的会议室-说话人03(00:26:29): 对在那个代理那个详情那一条记录上已开通，然后还有一个是待结算要30天。可能是。

韩文程的会议室-说话人02(00:26:40): 就定时的去判断是？

韩文程的会议室-说话人03(00:26:42): 是不是反正肯定是个时间定时嘛？

韩文程的会议室-说话人02(00:26:44): 那种因为因为这个东西得确认一下规则到底是因为有开通一个月的还是三个月，一年的这个规则怎么去给他们？

韩文程的会议室-说话人03(00:26:50): 这个规则怎么去对两个三个你要怎么去做这个事？

刘书言(00:27:00): 每个月的价钱不都一样吗？他买多买少不都是钱吗？

韩文程的会议室-说话人02(00:27:03): 他买的时间不一样，你买一个月的和一年的算。

刘书言(00:27:06): 你就按月给他结算。我说你按照他们。

韩文程的会议室-说话人01(00:27:10): 我先问一个问题。我只有一个问题，就是我们现在买火山的坐席。我买了100个，然后我这一我买，我这个月已经买了100个，但是我只开通了20个。下个月他给我算的什么算钱？

韩文程的会议室-说话人01(00:27:24): 那就算你哪个的钱？

刘书言(00:27:25): 按100个算，按100个扣。

韩文程的会议室-说话人02(00:27:26): 按100你不问问？

韩文程的会议室-说话人01(00:27:28): 那咱们就别纠结。

韩文程的会议室-说话人02(00:27:29): 对咱们在对我最开始的理解就是因为我们给他开那么多期就已经买了，就花了这么多钱了，所以说我只要给你开通，我当时我就说为什么我就我没说有这个钱，是因为现在我们不是在我们那边买买车，然后就算开通了。

韩文程的会议室-说话人01(00:27:47): 对你，你花了这个钱就算了！

韩文程的会议室-说话人02(00:27:49): 你只要买这个棋就得花这个钱！

韩文程的会议室-说话人01(00:27:51): 你开不开你用不用我是你的问题？

韩文程的会议室-说话人02(00:27:53): 那是你的问题。

韩文程的会议室-说话人01(00:27:54): 我30天都说完了。

韩文程的会议室-说话人02(00:27:55): 对现在我们那边也是这样。

韩文程的会议室-说话人01(00:27:57): 我就按这个逻辑来。

韩文程的会议室-说话人02(00:27:59): 对那。

韩文程的会议室-说话人01(00:28:00): 很关键。

韩文程的会议室-说话人02(00:28:01): 对我的意思那现在其实没问题的不要。

韩文程的会议室-说话人01(00:28:03): 一直接。

韩文程的会议室-说话人02(00:28:04): 只要这个工单我已完成就是我在河南已经给你买完账号，我已经花了我们账号里的钱了。我工单已完成，我确实是给你开通了，我也对我活在那也花这个钱，那我就是那个。

韩文程的会议室-说话人01(00:28:12): 对我活在那也花这个钱，我就跟他对。

韩文程的会议室-说话人02(00:28:16): 就没有什么理气嘛现在？

韩文程的会议室-说话人01(00:28:17): 没错，不是没有冷静期，是我们只监测一个状态，就是你购买我们开发发行。

韩文程的会议室-说话人02(00:28:23): 你购买我开发花钱。

韩文程的会议室-说话人01(00:28:25): 对状态。冷静期还是要有的，加30天我才给销售算佣金。

韩文程的会议室-说话人02(00:28:30): 30天之后的算佣金？

韩文程的会议室-说话人01(00:28:32): 对我不能立马给他们算佣金。

韩文程的会议室-说话人03(00:28:35): 想一下。

韩文程的会议室-说话人01(00:28:40): 没问题。

刘书言(00:28:41): 这个规则就是这样，增光就是这个运维，然后点了工单已完成账号那边你还是写写已经开通了嘛，然后至于代理商这边，比如说我是代理商，然后我买了10万，然后这块的话你不要立马给我结算，你把这个10万你先记录好，等到三十天以后再放到他可以结算金额里面。

韩文程的会议室-说话人02(00:28:41): 这就是？对。

韩文程的会议室-说话人03(00:29:05): 行。

韩文程的会议室-说话人02(00:29:06): 那就不区分他买了一个月，他主要是他只要月月，只要月之后，这个订单的状态还是已开通什么之类的，那就我们。

韩文程的会议室-说话人01(00:29:17): 我们是监测两个时间戳月初的时候监测一下月尾的时候监测一下状态，如果形成月头，月尾对起来了。

韩文程的会议室-说话人02(00:29:23): 对我们每个月都会监测业务。

韩文程的会议室-说话人01(00:29:28): 然后我就给他算佣金，然后第一次更新的时候是因为月头没有嘛，所以是我们首次的时候就给他计算登录时间就是你登记时间30天之后。

韩文程的会议室-说话人02(00:29:42): 那就我的意思，不区分你买了几个月了？

韩文程的会议室-说话人01(00:29:45): 对是咱们的刚刚说的这种方式是采用的是什么，就是它不是自然月，是我从当下购买之日起这个规则，因为到时候你可以看一下火山那边是什么规则是什么意思，就是我的坐席生效。

韩文程的会议室-说话人03(00:30:02): 现在可能是30天，买了之后30天。

韩文程的会议室-说话人02(00:30:03): 生效后30天。

韩文程的会议室-说话人01(00:30:06): 买了之后再开始算，那咱们也按照这个算，我们都我们不按自然月算有工资我知道对我就。

韩文程的会议室-说话人02(00:30:11): 我知道，我就按照我们买之后30天之后嘛。

韩文程的会议室-说话人01(00:30:15): 对！

韩文程的会议室-说话人02(00:30:16): 定时监测。

刘书言(00:30:20): 简单就简单说就相当于他那个代理商有个池子，有一笔钱放在那个池子里，三十天以后他才能提。

韩文程的会议室-说话人02(00:30:27): 对就冻结了嘛！行，到时候我改一下，那相当于是30天之后没问题了之后我才去给他产生佣金结算，那其实这个时候就相当于还没有佣金产生，就是这个佣金规则也不产生，因为我现在。

韩文程的会议室-说话人03(00:30:52): 这个时候代理需不需要看到这笔订单，看到订单还没有。

韩文程的会议室-说话人02(00:30:58): 但是没有佣金，明细里边是没有这条记录的？

韩文程的会议室-说话人03(00:30:59): 代购佣金。

韩文程的会议室-说话人02(00:31:04): 得有。得有。

韩文程的会议室-说话人01(00:31:06): 没有。

刘书言(00:31:06): 对你得你得有个记录，你改个状态叫待发放嘛。

韩文程的会议室-说话人03(00:31:06): 不能结算。

韩文程的会议室-说话人01(00:31:08): 就在多个状态，在多个状态对。

韩文程的会议室-说话人01(00:31:13): 就在这里，在多个状态，因为预计佣金是啥意思，预计佣金把所有的钱都。

韩文程的会议室-说话人02(00:31:19): 然后你现在预计佣金是没有预计佣金是这样的，他当时设计的说，比如说我们这边结算是吧，我们这边算出来钱就是要预计给他钱，他的意思会有一些扭转，比如说确认这个佣金就要核准一次。

韩文程的会议室-说话人01(00:31:38): 我们要。

韩文程的会议室-说话人02(00:31:38): 我就这我就我跟大家讲一下吧。这个佣金当时是怎么说的是佣金就是我们系统的算出来的，然后这个核准佣金就是比如说他有一亿，要不要给财务再重新把这个金额改动看要不要还要不要有，还是说就以我们系统为主？我给你演示一下，你看我现在。

刘书言(00:32:05): 这个我讲一下吧，志康，这他是这样，就刚才增光说了嘛，前面是系统算的嘛，然后后面他自己核验的，如果说他感觉系统算的没问题，他就直接提佣财务那边确认好了，他就拿到钱了，然后如果说他感觉有问题，他就可以自己去改，改完了财务再核，然后财务再返给他，他再确认，然后就是反复这样确认，他才能拿到这个钱。差异。

韩文程的会议室-说话人02(00:32:29): 我觉得要做到咱们系统里。

韩文程的会议室-说话人01(00:32:32): 一点，他如果缺了以后他自己找财务。

刘书言(00:32:36): 你意思是线线下，那线下的话，现线下有个问题就是你这里要不要显示线下的话你你那个数据就不同步了？

韩文程的会议室-说话人01(00:32:38): 就这样子的话，咱们系统就会变得清清爽爽。

韩文程的会议室-说话人03(00:32:48): 就你对，其实我们你可以像线上次我一样。

韩文程的会议室-说话人02(00:32:52): 我给你演示一下这一套，现在这个结算的流程就是我给你演示一下，就首先我举个例子，这就是我刚才说的，我已经发放佣金了，这个时候发放完之后，这就是我们系统算出来的金额，他这时候还没有校准，然后现在他可以点确认佣金，那么他就会这个代理就会有两种方式，一我确认没问题，第二个我觉得你系统算的有问题，我有异议，然后我会点，比如说我点的有异议，比如说我现在对这里，我对你这个给我算的有问题，那他这里可能就会代理这里提的问题就会回到财务这里。

韩文程的会议室-说话人02(00:33:40): 然后就会提到这里了，财务就会收到代理说这个佣金我有问题，要不要重新校准。比如说举个例子，他的意思就是说避免，比如说系统给我算的是70，但是71，那可能财务一看，没问题是71，那我给他校准一次。

韩文程的会议室-说话人01(00:34:05): 留一个口子也行。

韩文程的会议室-说话人02(00:34:07): 对就是然后比如说财务确认问题，然后71。

刘书言(00:34:09): 不光是他说有异议，我们自己财务复核的时候也可以加！

韩文程的会议室-说话人01(00:34:13): 但是我觉得那啥你你最后留一个你最后留他的这个申请意义的一个通道就可以，你前面的那几个佣金核准佣金那几个我觉得有点复杂。

韩文程的会议室-说话人02(00:34:27): 如果有问题。

韩文程的会议室-说话人01(00:34:28): 我给你发，你有个问题，你给留个申诉渠道就可以，你回到刚刚那一页，就咱们前面那一页就是你这里给他留个申诉渠道就可以了。

韩文程的会议室-说话人02(00:34:38): 现在就属于一个申诉，现在我问一下现在比如说财务没有。

韩文程的会议室-说话人01(00:34:41): 财务这个没问题，我觉得挺好的，对，然后又。

韩文程的会议室-说话人02(00:34:43): 又回到这里，又撞了，又回到代理这边了。

韩文程的会议室-说话人01(00:34:47): 对你看我旁边。

韩文程的会议室-说话人02(00:34:47): 然后代理就是又回到代我确认这个流程。

韩文程的会议室-说话人01(00:34:50): 对我是觉得这边麻这边很麻烦，你那个申诉很挺好的，就这边有一个我们默认按照这个流程发，然后你对这笔订单有问题，你可以发起申诉，发过去不就好了。

韩文程的会议室-说话人02(00:35:02): 其实这个就算申诉，如果说你我们其实正常，其实系统报告真的没问题，那其实最后代理其实很少会点这个语义，他都会最后直接点个确认金额。所以我们先我的意思，我现在去说的这个功能是？假设到时候万一真的系统有点问题。

韩文程的会议室-说话人03(00:35:20): 我明白了，因为你是看你这么把它插了。他是不是你的说没必要说，把这个搞成拆成预金金和我们就算一个佣金金额就行？

韩文程的会议室-说话人01(00:35:32): 其实我理想。

韩文程的会议室-说话人03(00:35:33): 你想这啥你的态度？

韩文程的会议室-说话人01(00:35:35): 我理想的是我这边预计佣金是啥意思，我今天我这个月我发展了100个客户，但是他不是这些客户的钱都还没有生效吗？

韩文程的会议室-说话人03(00:35:44): 对。

韩文程的会议室-说话人01(00:35:45): 我这边预计佣金已经算上了，我给我很开心，我预计这个月能拿到1万块钱。然后这个的话是什么？是上个月。我上个月只有10个客户，我上个月只有1000块钱，我下个月可以拿到这么多钱了。

韩文程的会议室-说话人02(00:36:02): 意思，比如说我就算是有问题，我就算有问题之后我改的话全部都是改的佣金金额？

刘书言(00:36:09): 不是增光这个说的是两回事了，说的就是刚刚才三十天以后提现，整个页面可能都要改一下，关于这个数据怎么呈现。

韩文程的会议室-说话人01(00:36:13): 然后这边是提现。对我的什么第一个我现在旗下我有10个客户。我预计下个月我可以拿到多少佣金？是我把它都算上了，这个是什么？你核准佣金金额，我理解的就是我上个月我拿了多少佣金，然后这边的话最后一个是啥，在我确认核准佣金在我理解这边什么，就是我申请提现我提现了多少？

刘书言(00:36:50): 那就这样吧，就是这个页面的这两个金额字段，李磊回去再想一下吧，李磊不也懂什么意思了吗？就是看本月能拿多少，然后预计能拿多少。

韩文程的会议室-说话人01(00:36:57): 你们有没有那啥？你们有没有去注册过顺风车之类的？

韩文程的会议室-说话人02(00:37:04): 那次做过我做。

韩文程的会议室-说话人01(00:37:05): 我注册过，我还跑过两单，我给你们看一下他的佣金！市中心。

韩文程的会议室-说话人02(00:37:14): 没人到时候你看。

韩文程的会议室-说话人01(00:37:15): 你看这我总共跑了四单吧！他总共跑了四单，然后顺风车总里程退款，这些咱们都不用管了，咱们没有什么好评之类的。

韩文程的会议室-说话人03(00:37:28): 对。

韩文程的会议室-说话人01(00:37:29): 我这个400。这因为太太早了太早。

韩文程的会议室-说话人02(00:37:35): 太早了，不会想。

韩文程的会议室-说话人01(00:37:36): 我之前跑着玩，他这边就是一单一单嘛，一单。

韩文程的会议室-说话人02(00:37:40): 对。

韩文程的会议室-说话人01(00:37:40): 当时我的行程？

韩文程的会议室-说话人02(00:37:42): 每每个人应该多少钱？

韩文程的会议室-说话人01(00:37:44): 其实我理解咱们这边是不是应该下面也是就是我客户是谁，然后他的这个客户的基本信息，然后右边的话是什么？就是我这一单我预计的佣金收入是多少？因为他因为数算的算是最关键是谁，你看我现在如果都在啥地单打车嘛，就是从哪到哪，多少钱，那客户的话有多少人，我的客户是谁，买了多少个，我可以拿多少佣金。然后后边你可以给他个状态就是什么佣金是在通道中还是已经确认是我的佣金了就可以了，然后上面这三个东西哪些是可以提现的，哪些是不可以提现的，对，就是这个东西，所以淑你因为你看不到我的手机嘛的是现在下面钉钉单号就是什么，就是我是哪个客户，对他买了多少，我能拿到多少佣金，然后上面是什么，预计佣金可提现金额。

刘书言(00:38:24): 其实你看我的批注就很简单，一个是它可提现的金额，一个是待提现金额。我懂你意思，我懂你意思？

韩文程的会议室-说话人02(00:38:49): 带现金。

韩文程的会议室-说话人01(00:38:50): 对可提现金额待提现金额。

韩文程的会议室-说话人02(00:38:52): 记录记，到时候要改。

韩文程的会议室-说话人01(00:38:55): 你这个待提现金额有问题，那个啥也不对，数也不对，在哪？

刘书言(00:38:58): 对我知道字字的话，回头再想一下，只是现在大家知道什么意思就行。

韩文程的会议室-说话人01(00:39:04): 可提现金额是对的。刘悦，你看这三个维度，第一个预计你下月可以拿多少，然后最后一个的话可提现多少，可提现是已经给你确定的嘛？最后一个的话可以给他申请提现，其实就是确认金额是多少。

韩文程的会议室-说话人02(00:39:21): 我想一下，我们就只有两个，一个是以提现，一个是预计要提现就两个维度。因为要不就是你体验没错，要么就是你体验。

韩文程的会议室-说话人01(00:39:33): 没错，要么隔几天。

韩文程的会议室-说话人02(00:39:34): 对其实没有在什么当前这个月的时间，要不就是你已经提现了，要不下个月冷静就在这刚才说的冷静期你要过了之后你可以预期提现，其实就这个单子两种状态是的。

韩文程的会议室-说话人03(00:39:45): 个单的两种状态。

韩文程的会议室-说话人02(00:39:47): 就是只有俩状态就行了。

韩文程的会议室-说话人02(00:39:50): 上面签。

刘书言(00:39:51): 页面的字段改一下，然后金额重新想一下，其实你们设计我们设计的这个核验这个流程其实不用动嘛，因为因为咱们设计这个佣金核验流程，就算代理商他感觉没问题，到财务那边其实还有一道核验嘛，如果说财务感觉有问题，还是会返给他们的。

韩文程的会议室-说话人02(00:40:15): 你说核准佣金还保留？

刘书言(00:40:18): 不是字段你都换成新的字段，这些体现的情况下，对在那个流程里面体现。

韩文程的会议室-说话人03(00:40:19): 但在这里不提醒。

韩文程的会议室-说话人02(00:40:22): 我知道，就我们现在我举个例子，现在就我们两个现在是两个分开了，我们现在就用一个嘛去，真正要公积金金额。

韩文程的会议室-说话人03(00:40:29): 佣金金额。

韩文程的会议室-说话人01(00:40:31): 对然后。

韩文程的会议室-说话人02(00:40:31): 然后他比如说他就是有一亿那财务去，比如说核准一下金额其实也是核准了他的。

韩文程的会议室-说话人01(00:40:38): 我的建议是确认佣金这块就不要默认确认这边。

韩文程的会议室-说话人02(00:40:39): 确认。这边在这边。

韩文程的会议室-说话人01(00:40:45): 体现放在这里体现是总的嘛，你下边对你的**。

刘书言(00:40:51): 也可以增光，这样就你按那个世康说的就是把代理商这块这个有异议给他删掉，然后让代理商线下去找财务，因为你们提，因为他提完就比如说你这个确认用你改成提现吗？你提完了以后不是到财务吗？财务那边如果说何燕他线下沟通有问题，财务还会打回去的。

韩文程的会议室-说话人01(00:41:08): 苏云。杜言我更正一下，我是想把确认佣金这个步骤拿掉，因为我如果是个销售的话，我不可能老是盯着他去确认佣金的，然后是啥意思，你在顶上刚刚树源写的非常好，就是可提现金额吗？

刘书言(00:41:21): 我知道我。

韩文程的会议室-说话人01(00:41:28): 可提现金额就等于是已经确认了的，我这边有一个附近就有个提现，我们可以直接把这钱提现到我的账户里边，这个大家好理解吧，就是我下边所有的这些佣金，它都是自动那啥自动的去给我划到这个可提现金额里边去的。如果我对哪一笔客户的佣金有质疑，你现在你确认佣金的这个按钮，这边你可以有一个有疑议，我对哪一笔有疑问，我对哪一笔发起异议，到财务那边财务去给我答案就是这个道理。

韩文程的会议室-说话人02(00:42:04): 因为我们现在确认佣金只是一单一单确认对这里直接是累积体现。

韩文程的会议室-说话人01(00:42:10): 如果100个客户？

韩文程的会议室-说话人02(00:42:11): 直接就是有个总的体现，其实现在这个军人就只叫有异议就行了，就只有一个状态，就是这里就算他有问题就直接带你去回到异议的。剩下的所有就是直接提现，过去之后就是直接一笔一笔的提现金。那这样财务是不好对，比如说你订单多了，财务你财务这边。

韩文程的会议室-说话人01(00:42:33): 你这边你上边什么的，你上边其实就是周期，你看，可提现金额，我如果一键提现了，我提现的就是可提现金额里面所有的订单。

刘书言(00:42:34): 我感觉我，我感觉就。

韩文程的会议室-说话人01(00:42:45): 财务对他给了哪边有异议，财务对哪边单对单的？你有意思吗？

韩文程的会议室-说话人03(00:42:54): 我们财务这边。

韩文程的会议室-说话人01(00:42:56): 是也好对的，因为财务对的一笔订单就是你你发起提现的第一笔订单和你第二最后一笔订单。

刘书言(00:43:10): 我感觉可以这么弄增光你回那个代代理那里，就是咱们把这个明明细这块搞一个什么多选，然后类似于让他去，刚才石刚说的嘛，然后在上面加个统一的一个提现按钮。他提现完了以后是。

韩文程的会议室-说话人01(00:43:25): 你不用管那啥水源，我的意思就是你别管订单去那啥订单自动给你计算，你在上面一键提现。

刘书言(00:43:34): 行，那就下下面不动嘛，那个确认佣金删了，然后就直接就一键提现，然后提现完了以后是到财务审核嘛。说到财务审核，如果说他感觉这个订单有问题，他线下去找财务，因为财务那边是有权限去改的。

韩文程的会议室-说话人01(00:43:50): 财务就你对哪一笔订单有问题，财务给你定哪一笔，你对所有订单有问题，那你全部给一个一财务给你一笔一笔确认，就这个道理，你别管他这个金额咋。

刘书言(00:43:50): 然后财务改完了？

刘书言(00:43:54): 是的。

韩文程的会议室-说话人02(00:44:01): 只要最后确认了没问题，之后他再一次性体现，他有一页的就回去，不用确认。

韩文程的会议室-说话人01(00:44:05): 他不用确认他自动确认，下面订单都是自动确认。

韩文程的会议室-说话人02(00:44:09): 我知道他有异议之后回到他这直接点一键提现。因为一键提验他，比如说现在叫现在做的叫我带我确认。这种状态的订单，他直接一键体验完之后就直接到财务这边了，就直接到这个佣金流水里面就产生了一笔相当于是流水订单号，现在是11个一个订单的。

韩文程的会议室-说话人01(00:44:31): 对谁到时候反正放心。

韩文程的会议室-说话人02(00:44:31): 到时候反正到时候就需要佣金流水号了。

韩文程的会议室-说话人01(00:44:35): 可能就会。

韩文程的会议室-说话人02(00:44:36): 就不能按照订单号，每个订单号是一笔一笔订单的，到时候就是一个流水号完就谁发的。

韩文程的会议室-说话人01(00:44:39): 当时就是一个流水号完就谁把你提现了。

韩文程的会议室-说话人02(00:44:43): 可能就是代理是谁，这个流水号是谁？再多一个可能他要想看这笔订单有哪些订单，到时候可以另外讲。

韩文程的会议室-说话人01(00:44:52): 我觉得也不用两个系统都生成的，你可以让财务去查他的。那什么原客户状态？

韩文程的会议室-说话人02(00:45:05): 行，然后那财务行。

韩文程的会议室-说话人01(00:45:08): 我觉得后边咱们只要对咱们前面那个机制有自信，就是我系统就是这么计算的，我每一笔数字都是可以被解释可追溯的，这没有问题。因为现在你要确保你的每一个什么预计佣金金额是什么意思？你在这边要有个问号，让大家都能理解我这个预计佣金金额就是你现在包含了你所有的你注册的用户旗下代代收入的这个还有以还有那些可提现的前面方方算在一起是预计佣金金额怎么让大家理解就好？

韩文程的会议室-说话人01(00:45:50): 配的。

韩文程的会议室-说话人02(00:45:51): 那就到时候我们这个流流程再改一下。

韩文程的会议室-说话人01(00:45:54): 少年。

韩文程的会议室-说话人02(00:45:54): 对然后。

韩文程的会议室-说话人01(00:45:55): 然后所以说我就简单一点。

韩文程的会议室-说话人02(00:45:57): 对后面就没啥，后面就财务的一个先生成条款单。这个东西给它生成个打包单。他确认你跟他确认一下就是扭转一下状态。

韩文程的会议室-说话人01(00:46:07): OK 的 OK 的。

韩文程的会议室-说话人02(00:46:08): 现在是这样。

韩文程的会议室-说话人01(00:46:09): 管好。

韩文程的会议室-说话人02(00:46:11): 现在起。这是财务，其他东西，其他就和管理员是一样的。换这边的？

韩文程的会议室-说话人03(00:46:21): 我有一个问题，现在这个流水是我们这个现财务这里流水是，只要你有一笔订单，然后就是过了就是发就是产生了这个佣金了，就我们这个这笔订单就进来了，然后现在我们改完之后就是不是说我们有一笔订单就进入了佣金流程？

韩文程的会议室-说话人02(00:46:42): 你还得再来点？

韩文程的会议室-说话人03(00:46:43): 谢谢。就现在是我们是你结算了。就是我们的运维人员买完之后现在就会进进入用佣金和实时的对我们现在对。

韩文程的会议室-说话人01(00:46:55): 现在是这样的，后边都是。

韩文程的会议室-说话人03(00:46:57): 是如果按你这个改完之后是不他就不会进入这个流程了？

韩文程的会议室-说话人01(00:47:02): 流程？

韩文程的会议室-说话人03(00:47:03): 就刚刚这个佣金流程，你这么点点开那个对不会进入这个地方，如果是按照刚刚说的就是只有代理那边申请结算之后才进入这个吗？

韩文程的会议室-说话人01(00:47:19): 对这是代理的提现记录。

韩文程的会议室-说话人03(00:47:22): 局限就。

韩文程的会议室-说话人01(00:47:24): 谁在什么时候提现了多少笔钱？

韩文程的会议室-说话人02(00:47:28): 然后这笔订单现在是立马就给了，就是要写一个30天之后购买之后，然后开通了开通之后的30天之后才会产生这一条记录，这没问题吧。就这因为现在这条记录是只要点运维点确认就生成了。

韩文程的会议室-说话人03(00:47:40): 没问题吧，对。

韩文程的会议室-说话人01(00:47:45): 在通道中的是不是也能给他们看，对是需要？

韩文程的会议室-说话人02(00:47:48): 是给他们我的意思给他们看，但是那个状态就相当于是又不可以提现，也不提现，就是让他看。

韩文程的会议室-说话人01(00:47:53): 对。

韩文程的会议室-说话人02(00:47:54): 很比如说这个状态就会说。

韩文程的会议室-说话人01(00:47:56): 30天之后这笔钱就是你的。

韩文程的会议室-说话人02(00:47:57): 相当于就每个状态，就比如说是带牛仔什么之类就是一个事情。

韩文程的会议室-说话人01(00:48:02): 日期有点类似于什么叫本月佣金有点像那个什么本月账单的周期一样，就是本月佣金。

韩文程的会议室-说话人02(00:48:12): 就到时候想个词到底怎么标记这个动作。

韩文程的会议室-说话人01(00:48:13): 到底怎么标记这个状态？

韩文程的会议室-说话人02(00:48:15): 告诉他佣金还没到账，还提现不了。

韩文程的会议室-说话人01(00:48:18): 还没生效对因为客户这个月还没满30天。

韩文程的会议室-说话人02(00:48:21): 对还没满30天之后，这状态就给你改了。对行，那就还是会产生一个佣金的说状态多的多了，多一个状态，对就相当于在一个佣金池里面就还没给你拨出来。

韩文程的会议室-说话人01(00:48:21): 对还没满30天，30天之后就动态就给你改了对。多的多了，多一个状态。

韩文程的会议室-说话人02(00:48:34): 对，然后只要是30天之后，他的状态就变不了。

韩文程的会议室-说话人01(00:48:36): 他的状态就变了，本月佣金代入账跟咱那个账单是一样道理，他没有进入这个账单周期的佣金代入账，然后如果满30天的时候佣金已入账。

韩文程的会议室-说话人02(00:48:49): 我们就做好高。请拿到状态改一下！

刘书言(00:48:56): 那没什么了，增光还有吗。

韩文程的会议室-说话人02(00:49:01): 没了，那以后算佣金就对那以后后边算佣金是直接算，就是他可以提现就是状态是三，过了三十天之后，这个佣金才算是，比如说我们佣金提现之前。

韩文程的会议室-说话人01(00:49:15): 可提现金额30天之后才是可提现金额。

韩文程的会议室-说话人02(00:49:18): 对所有只要所有涉及到这种佣金流水的记录，我们都是按照这个来统计。

韩文程的会议室-说话人01(00:49:24): 26个周期行。

韩文程的会议室-说话人02(00:49:25): 行。

韩文程的会议室-说话人01(00:49:26): 然后页面上可以给他一个提示嘛，就是可入账是什么意思就是30天一个周期，然后30天一个周期给销售人员那个啥。

韩文程的会议室-说话人02(00:49:36): 因为就这里嘛，这里有本月佣金嘛，我要统计这个是不是就以你那个状态为主，然后是过了三十天之后这个状态，这个佣金不管你是找财务提现没提现，反正主要是你的状态是就是待提现的这个状态我都给你算进去。

韩文程的会议室-说话人01(00:49:52): 这个直接就给老板看。然后刚刚刚好你搞得挺好，这个能不能搞几个柱状图，这不是不要按天，不要搞近30天成交了吧，近30天按天会不会有点点那啥，到时候你看你到时候我们看真实数据，咱们再改这个每天我之前看到过一个那个表格就是也是那个数据编了那里面的，然后就是你分成几条柱，或者一条柱分几个颜色也可以，就是咱刚刚讲的那个我这个月。

韩文程的会议室-说话人02(00:50:27): 这个月要出一部分？

韩文程的会议室-说话人01(00:50:28): 对我这个月也可以有个波峰，然后在里面再弄个柱，就是这个柱里面显示什么，就是我这个月，比方总共是你，这是成交额是吧，比方说这个今天成交额是1万。

韩文程的会议室-说话人02(00:50:38): 今天成交额是1万吗？你说的吗？

韩文程的会议室-说话人01(00:50:41): 对。

韩文程的会议室-说话人03(00:50:42): 对他意思把拆的更细是吗？

韩文程的会议室-说话人01(00:50:44): 对这成交额理。

韩文程的会议室-说话人03(00:50:45): 那你怎么拆，你云云规则拆，你说就是从那里看那个就是今天的 S 级就是对内外就其实不要分 s，这个就是分外部内部的？

韩文程的会议室-说话人01(00:50:58): 在内部的对，就今天27000哪些是外部成交的？

韩文程的会议室-说话人03(00:51:01): 哪些是外部成交，哪些内部成交的？别人的更丰富你？

韩文程的会议室-说话人01(00:51:05): 你可能挺好。

韩文程的会议室-说话人03(00:51:06): 就把改成柱状图就可以对表也很好。

韩文程的会议室-说话人02(00:51:14): 那如果是这样的话，那这个成交额是以哪个状态为算，那佣金我知道了，成交额还按照哪个来算成交额现在哪个节点算成交额？

韩文程的会议室-说话人01(00:51:24): 每件事。

韩文程的会议室-说话人02(00:51:25): 对。

韩文程的会议室-说话人01(00:51:25): 没有成交额，你就算付钱的时间节点，因为咱们钱肯定得少。

韩文程的会议室-说话人02(00:51:30): 目前的。

韩文程的会议室-说话人01(00:51:31): 对我们。

韩文程的会议室-说话人02(00:51:32): 我目前的建议还是说按已开通的按。

韩文程的会议室-说话人01(00:51:35): 付钱的姐姐对咱们来说没有什么付钱，会议太多了。

韩文程的会议室-说话人02(00:51:38): 但是会有个问题，你像。

