韩文程的会议室-说话人01(00:00:00): 我们这有个创建那激活码要创建。这些细微信息都在我们这边去维护对。
韩文程的会议室-说话人01(00:25:53): 他们好像之前的开发多租户开发给逻辑，是因为我现在我当时我不知道他什么租户没有。

韩文程的会议室-说话人04(00:26:00): 你也不需要说白了做租户的东西在咱平台上反而稍微简单一点。

韩文程的会议室-说话人01(00:26:05): 咱就是一个企业嘛，企业其实就是一个租户。

韩文程的会议室-说话人04(00:26:08): 对他就是一个客户登录进来就是就他就应该长得跟咱现在一只不过咱后续就只不过 API 这块比较麻烦，因为所有的租户其实都是从咱这边往外输的嘛，但是咱的系统反而是他登进来，其实就跟咱现在看的这个很像，他只能看到自己企业的东西。

韩文程的会议室-说话人01(00:26:28): 对所以说我说一个企业就租户。

韩文程的会议室-说话人04(00:26:29): 所以说我说一个企业就一个租户企业就租户对咱来说是对火对咱和火山之间来说，咱是有好多租户给他对咱，但咱的系统其实就没有多租咱系统本身没有多租户功能？

韩文程的会议室-说话人01(00:26:32): 对对我们。对。

韩文程的会议室-说话人03(00:26:46): 先看一下流。

韩文程的会议室-说话人04(00:26:47): 这个人太棒！

韩文程的会议室-说话人02(00:26:48): 整体从放开。

韩文程的会议室-说话人03(00:26:49): 我你先拍这个先拍。

韩文程的会议室-说话人02(00:26:52): 哪个表。

韩文程的会议室-说话人03(00:26:52): 这里你放一个流程图，这个流程图就是咱这个用户怎么注册，然后。

韩文程的会议室-说话人01(00:26:53): 还有。

韩文程的会议室-说话人04(00:26:57): 然后把那个火山什么都往上摆，就是你在设计的时候把火山的企业标识什么都往上摆，这样显得那什么。

韩文程的会议室-说话人03(00:27:06): 这个官网昨天跟后面还要改的高高去。

韩文程的会议室-说话人04(00:27:09): 因为人家都给他授权了，咱就各种把人家的标识往上摆，能蹭就蹭。

韩文程的会议室-说话人02(00:27:17): 他是先进来或者是他注册这两种方式，一种是通过销售链接，一种就是通过官网注册。

韩文程的会议室-说话人04(00:27:25): 注册可以我去。

韩文程的会议室-说话人02(00:27:26): 然后去创建一个账号 OK 对。

韩文程的会议室-说话人04(00:27:28): OK 对 OK 很好，没问题！

韩文程的会议室-说话人02(00:27:32): 然后就是去选择直接就是他进入账号之后，然后他会进一个白账号，刚刚进的一个白空白的，然后他就要去就是他，然后他进一个套餐，选择购买一个一个东西，要么就是我们会有两种方式，对不对，一种是那种定制，是不是那种定制企业在这里也可以去？

韩文程的会议室-说话人01(00:27:46): 东西。

韩文程的会议室-说话人02(00:27:53): 去做一个他联系销售，然后去给他搞一个那种定制的一个定制的链接，去给他去报价，另外一个是标准还就是选10个20个。席位。

韩文程的会议室-说话人04(00:28:06): 你要定制的话，那这块谁也需要跟火山一样，有个合同，有个云合同的这个签署，你看一下那个火山，它这它是火山是有一套云合同系统的，咱跟火山签合同也是那么签的。

韩文程的会议室-说话人02(00:28:19): 钱在哪。

韩文程的会议室-说话人04(00:28:20): 通知里边，然后我给你点开，像前两天这个就小龙虾的这个合同，这是他主账号还是对你看第二个就是他会给咱发来一个价格确认单点开之后就是合同。然后需要这里边能下载，能看到合同文本，然后你需要点确认之后就生效，就是那个价格什么的就开始生效了，这是这里看不见合同，你往后退，那只能看下载，能下载，看到他的合同，咱也有得有一套类似这种合同系统，这不能看到合同吗？包括骑缝章什么都有。

韩文程的会议室-说话人01(00:29:12): 然后上传就手动上传？

韩文程的会议室-说话人04(00:29:14): 需要有确认流程。需要人家看完合同之后点确认什么东西的，这样咱们报价就生效，这四种合同性咱也需要搞一个。

韩文程的会议室-说话人03(00:29:26): 是手动算盘还是电子钱？

韩文程的会议室-说话人04(00:29:28): 他是电子的。

韩文程的会议室-说话人03(00:29:29): 是垫次还是垫的钱就是你放那个章上，他有没有那个信息？你得用 WPS 打开文件？

韩文程的会议室-说话人04(00:29:39): 他是骗子的。

韩文程的会议室-说话人03(00:29:42): 不是你你不你你。

韩文程的会议室-说话人04(00:29:46): 你这个字能选择吧，就火山这个字，电子档电子电电子合同。

韩文程的会议室-说话人02(00:29:57): 到时间上不了。

韩文程的会议室-说话人04(00:30:00): 只要都上传了也这个问题不大。

韩文程的会议室-说话人03(00:30:05): 不，他是付完款给他发一个。

韩文程的会议室-说话人04(00:30:11): 不是给他先给他合同，然后再让他去。

韩文程的会议室-说话人03(00:30:13): 让他确认一下再付款。

韩文程的会议室-说话人04(00:30:14): 再付款对。确认留痕，那或者咱可以先不说了，线下游戏玩的 OK OK 可以的。

韩文程的会议室-说话人02(00:30:24): 和大家学习一下。

韩文程的会议室-说话人04(00:30:30): 反正我因为我刚才你说的这个流程，我说给你看看火山这个他流程做的 OK 行。

韩文程的会议室-说话人02(00:30:39): 创建进来之后。都有一个支付界面。让他去做一个功能站。

韩文程的会议室-说话人04(00:30:47): 那也可以给他什么，也可以给他在线支付的渠道，要做在线支付，因为包括后期续费什么要在线去在线支付。

韩文程的会议室-说话人03(00:30:56): 昨天在食堂对的时候不要再研究，就全对的对过来。

韩文程的会议室-说话人04(00:30:59): 为啥我成了这么可能？

韩文程的会议室-说话人03(00:31:01): 他说这是企业不需要做什么。

韩文程的会议室-说话人01(00:31:03): 不，我觉得要有。

韩文程的会议室-说话人04(00:31:07): 要有在线支付就主要高全走，就他可以选择，因为有些小客户什么，他为了在线支付会比较方便。

韩文程的会议室-说话人03(00:31:13): 他会的在线支付会比较方便，微信和支付宝。你们还是线上评标。

韩文程的会议室-说话人04(00:31:20): 还有线上评标，开票可以不用申请一下，他申请开票，然后给他寄过去，不要不需要开票，但需要他有线上支付系统。

韩文程的会议室-说话人03(00:31:23): 可以线下的。

韩文程的会议室-说话人02(00:31:32): 行。

韩文程的会议室-说话人04(00:31:33): 要加钱就现在就回头，我跟市场同步一下都要加钱，现在是，而现在又尤其是续费，尤其是加保险什么东西，这个线线上支付会比较方便。

韩文程的会议室-说话人03(00:31:44): 现在设计就是客户在那个官网选这个他要订购的这个套餐嘛，然后创建订单，然后他这些东西都是线下我们人工核对，然后这块打开内容，然后打开以后我知道。

韩文程的会议室-说话人02(00:31:53): 订单，然后他？

韩文程的会议室-说话人04(00:31:57): 那老。我知道，但是。需要有一个线上的这种自动的流程，因为大客户肯定是线下那个线下付款比较方便嘛，但小客户他是线上直接扫个码，老板自己扫个码就完事的事，不要多搞这么麻烦，包括火山也是嘛，火山也是那个对公转账和那个线下是线上支付都支持，这要有要线上支付的。

韩文程的会议室-说话人03(00:32:21): 那咱10个起步能限制是不是也能加？

韩文程的会议室-说话人04(00:32:24): 10个起步没必要这个事，下午跟火山对的时候跟他说一下，像咱就不要10个起步了。

韩文程的会议室-说话人03(00:32:25): 事下午？

韩文程的会议室-说话人04(00:32:32): 咱用 API 购买，因为他现在是要10个起步。

韩文程的会议室-说话人01(00:32:35): 就算现在这些，他所有 API 有没有给过我们？

韩文程的会议室-说话人04(00:32:38): 我不知道这个东西，你跟他细聊这个东西肯定能钉钉，能给他突破线出来。

韩文程的会议室-说话人01(00:32:41): 现在就好多想聊到 API 市场那边说不让直接暴露出来暴露我们的意向，就是现在我搭。

韩文程的会议室-说话人04(00:32:48): 有些不要暴露意向，比如说什么咱要超售他的什么超售 COS plan 这个东西咱不要暴露意向，但是。

韩文程的会议室-说话人01(00:32:56): 没有就是所有的所有我的意向都是，比如说用户信息的同步，然后他们那边能不能限制这种 API，然后我石刚那边说不让去暴露，但是这东西你不和他沟通。

韩文程的会议室-说话人04(00:33:08): 哪些东西它不让暴露？

韩文程的会议室-说话人01(00:33:08): 哪些东西它不让暴露就我早上肯定是这几个问题。你看，首先第一个点同步用户信息，那其实现在他们是没有这个 API 那。

韩文程的会议室-说话人04(00:33:23): 咱为什么要同步信息？

韩文程的会议室-说话人01(00:33:26): 要不然火山里边的用户之间怎么去，就比如说我在。

韩文程的会议室-说话人04(00:33:30): 我在上同步用户信息对咱来说咱他每他到时候会有多租户系统，每个租户会有一个 ID？他一定每个租户会有一个独立的 id，然后那个这个火山那边只能看到 id 这个租户具体是哪个企业什么的都在咱这存的跟他有什么关系？

韩文程的会议室-说话人01(00:33:49): 我知道你火山里边用户信息怎么弄，他也不是火山的。

韩文程的会议室-说话人04(00:33:52): 他就不是他是他是要去火山创建账号。

韩文程的会议室-说话人01(00:33:55): 对你你。

韩文程的会议室-说话人04(00:33:55): 你不是能创建账号吗？多租户，他现在没有他现在没上多租户系统，所以咱现在一个账号只是特定绑定一个企业，但他上了多租户系统咱一个账号下能创建一无数个企业是创建租户。

韩文程的会议室-说话人01(00:34:08): 不是企业，但是他这里边信息没有我们的后台是有，但是你这个用户信息没有你没有这个用户信息。

韩文程的会议室-说话人04(00:34:11): 我们我们的后台。你用户信息是绑定了什么之后是来的是 SM 的？

韩文程的会议室-说话人01(00:34:16): 是 SSO。

韩文程的会议室-说话人04(00:34:17): SSO 对。

韩文程的会议室-说话人01(00:34:18): 那如果说他上来，他得登录完之后才能去正规的流程按照我们这边来说，那你就不应该让用户去登录，然后我们再去给他分配席位，是正规流程，不是按我们这边直接创了一个用户，我是在后台调 API 给他分配席位给他，把用户信息同步到火山不是先。

韩文程的会议室-说话人04(00:34:38): 不是，比如说绝大多数用户不是绑会绑定或直接绑定企微或者钉钉或者飞书，在绑定的同时，就是它会自动去飞书钉钉上面拉这个用户列表。

韩文程的会议室-说话人01(00:34:55): 我们这里边只能配一个，到底是用 SSO 还是用企微还是用钉钉？

韩文程的会议室-说话人04(00:35:00): 对你配完之后他会自动拉一下。

韩文程的会议室-说话人01(00:35:02): 对是自动吗？但。这个用户操作就是我的流程是，就是这个我的意思就是用户你创的时候那只能等用户，那如果说不登录，那你我就没有信息了。

韩文程的会议室-说话人04(00:35:17): 为什么从来都回不到我大本营就？

韩文程的会议室-说话人01(00:35:19): 就比如说我虽然说我在 SO 有用户信息，比如说首先在我们平台，他是不是有10个用户？我有10个用户，我买了10个席位？

韩文程的会议室-说话人01(00:35:29): 在我们这个流程是不是买完之后他应该登进去立马就能去用的？

韩文程的会议室-说话人01(00:35:34): 对首先第一步拿到用户信息之后，我们首先第一步要把用户信息先在 SSO 里边去创建嘛 SSO 创建完之后，那如果说他没有登录，就是我在我们系统是买了这个用户和席位了，但是他没有登录网站那边是没有这个用户信息的。

韩文程的会议室-说话人04(00:35:53): 没有不是他，虽然我觉得好像有点岔屁了，虽然我跟你说一下。用户就是咱的 SSO 是指就是咱现在参考 SSO 嘛，咱的 SSO 是指去登录咱自己的系统嘛，咱自己的系统是给管理员用的，跟他的员工是永远不会看到咱的系统。

韩文程的会议室-说话人04(00:36:15): 我跟你强调一点，就是咱的系统是给咱客户的管理员用的，他们的员工是不会看到咱的系统的，他们的员工就跟咱现在看蓝宫宝一样，只能看到你打开蓝宫宝那个 cloud 点蓝宫宝再 top 那个界面，我先从我先咱先定一下这个边界，就是他们的员工。APC 也一样，他们的员工只能看到页面。

韩文程的会议室-说话人03(00:36:41): 立即体验。

韩文程的会议室-说话人04(00:36:42): 他们永远无法看到咱对他们是绝对，因为咱是绑着咱的 S3o，但是就有那个别人的话，他会绑他的企微，或者你看蓝龙宝的页面，蓝龙宝，阿克点蓝龙宝点 com 点 top 蓝龙宝。

韩文程的会议室-说话人01(00:36:57): 蓝光版前面换一个蓝光版不是按 cloud 蓝光版点？

韩文程的会议室-说话人04(00:36:59): 不是安安乐岛蓝光宝典 top？蓝宫宝点儿草红？把老本去掉哈！当他就是蓝光宝绑定的是飞书，他的员工点开之后是这样的。这直接扫飞书，解飞书的。

韩文程的会议室-说话人01(00:37:24): 那这两种权限要在我们系统里面去做？

韩文程的会议室-说话人04(00:37:27): 这跟咱系统一点关系都没有，所以我先理跟你们重新理一下这个这块，然后你们可能搞得有点混，有没有白板？

韩文程的会议室-说话人03(00:37:37): 取消可能消费。

韩文程的会议室-说话人04(00:37:38): 要不要小虎来个白板，这你们设计的这块有点问题，首先就是因为无论是从咱的效率上来讲，还是咱之后的一个合作方式上来讲，都是这样的，就是现在其实火山它也是分两块火山其实也分两块，一个是火山引擎。咱就是脾性用的那玩意，就是你们现在是刚刚一直看的那玩意，这个是给管理员用的。这个是管理员用的那个具体的用户的域名什么 cloud 点xxxxxx，这个是给员工用的，这是给员工用的，咱需要重新做的是这一块，因为咱要让这个企业从咱这边付费，从咱这边购买，咱好能赚这个差价，咱要做的是这一块，他的员工用的和就是火山这个东西，因为这样的话，这咱不要去开发这一块，这块第一工作量很大，他那边会一直更新，包括现在从从我刚开始第一次用这个东西到现在他基本上都改了无数次了，一直在提升，咱不要做这个东西，对咱来说工作量太大，收益不明显，这个工作就让火山去做就好了。

韩文程的会议室-说话人04(00:39:02): 所以咱需要做的永远只有这个，无非就是，所以你我们其实是相当于1:1复刻的一个，他这玩意这边都配置完之后，他的员工该怎么用？咱其实只是代替了他这个界面这个页面。

韩文程的会议室-说话人01(00:39:22): 那就是我们这边系统创建用户可以不同步到那边就是他因为他登录他自动登录的时候，他只要把信息同步到我跟你说。

韩文程的会议室-说话人04(00:39:28): 我跟你说这个东西就还是有一点那什么你你还是不太清楚，就是第一，我跟你说一下，第一你看我咱还拿火山来说，咱的火山只有一个账号？

韩文程的会议室-说话人01(00:39:42): 对一个。

韩文程的会议室-说话人04(00:39:43): 一个一个人民？咱的火山，咱不说绑定 SSO，觉得咱就别的用户，客户肯定不会绑 SSO 这种独立 SSO 站的他肯定绑的是企微或什么东西。比如说绑企微的时候，就是企微，它会自动去企微上拉，就是就绑完之后就是火山，你你你把那个火就是因为绑定了物流程咱也得调，咱最终是会调火山的那个 API 去绑定是让客户的企微和咱在火山上创建的租户进行绑定吧。

韩文程的会议室-说话人01(00:39:54): 对换到企微。

韩文程的会议室-说话人01(00:40:08): 卖得掉。对所以这时候。

韩文程的会议室-说话人04(00:40:18): 对，然后他那个火山会自动去企微上拉对应的数据创建员工列表，然后员工就可以直接用这个页面了。

韩文程的会议室-说话人01(00:40:29): 对这个逻辑是没错的，但是我现在我的理解是吧，我的理解是，但是。

韩文程的会议室-说话人04(00:40:31): 我现在就说的是什么，我的理解是！

韩文程的会议室-说话人01(00:40:35): 现在是我们系统去创建了一个用户。

韩文程的会议室-说话人04(00:40:38): 我们系统创？

韩文程的会议室-说话人01(00:40:38): 对有我们系统创建的一个用户。先首先我们用户是不是创建一个用户，这是用户，我们后边要分对我们后边要分配席位。

韩文程的会议室-说话人04(00:40:48): 不这个席位也不用你分配席位，也不是我跟你说一下，我再问你，我再给你理一下整体的一个思路，第一，我们用我们创我们的那个平台吧，我们平台。

韩文程的会议室-说话人01(00:40:49): 媳妇也不是我，我跟你说。思路！

韩文程的会议室-说话人02(00:40:59): 我们。

韩文程的会议室-说话人04(00:41:02): 创建 admin 码。

韩文程的会议室-说话人02(00:41:04): 对不是。

韩文程的会议室-说话人04(00:41:05): 不是我创建了一个 admin，对应我们调火山的 API。创建租户。创建租户。没问题，我们这边创建一个用户对应咱火山，咱账号下多一个租户。现在还没有租户系统，但是它马上会有。

韩文程的会议室-说话人01(00:41:30): 租户是火山那边的租户。

韩文程的会议室-说话人04(00:41:31): 火山那边租户，咱的平台，咱今天咱平台是没有租户概念的，咱就咱这边创建了一个企业 OK一个企业用户，咱这边一个用户。

韩文程的会议室-说话人01(00:41:32): 咱们就咱们先来个体验。企业用户。

韩文程的会议室-说话人04(00:41:44): 有个用户在这边注册了，对咱会去火山或者说创建一个对应的租户。

韩文程的会议室-说话人02(00:41:49): 收获对。

韩文程的会议室-说话人04(00:41:50): 或者说创建一个对应的租户可不可以注册那一步，就比如说他可能付费的，或者支持开通的那一刻再去创建一个租户没问题，反正等咱调 API 去创建一个租户？咱这边这个企业之后也会绑定绑企微也好绑什么绑定那个企微也好，绑定那个什么那些东西也好，钉钉也好，他绑完的话就是咱也会有让他去绑钉钉，或者说我一定让客户操作，咱让咱自己的那个。

韩文程的会议室-说话人01(00:42:21): 就是我推的那个东西？

韩文程的会议室-说话人04(00:42:23): 对！

韩文程的会议室-说话人01(00:42:24): SSO。

韩文程的会议室-说话人04(00:42:25): 咱要配那些东西可能是咱自己，咱是人帮帮他配好，但是在咱平台上配嘛，配完之后咱也是这边咱这边配的那一步也是调 API。

韩文程的会议室-说话人01(00:42:28): 但是在咱平台上配嘛？

韩文程的会议室-说话人04(00:42:37): 是去火山上那边让那个租户去绑定那个对应的企微，就是咱这边所有的操作，其实最终都是火山去执行的，咱这边只是提供了一个界面嘛，相当于我知道就是。

韩文程的会议室-说话人01(00:42:47): 相当于我知道配 SSO 也希望我们这边去走。

韩文程的会议室-说话人04(00:42:50): 对也就咱这边也是就是咱这边一操作会自动去调用火山的这个 API 这一步也没问题吧，就是你你是看起来是咱在平台绑上是也是从火山上绑的嘛，同步一个同步操作，这也没问题，然后这样绑完之后，火山这边就会拉那个对应的员工列表了？

韩文程的会议室-说话人01(00:43:02): 对我知道。

韩文程的会议室-说话人04(00:43:12): 就会就因为他会去企微上拉员工列表，咱这边也能咱这边不光有上行接口，咱这边有下行接口，咱这边也能看到他拉到的员工列表，咱这边查查询能看到员工列表，这也没问题，然后席位是这样，席位咱也是一样，原理一样，在咱这边买了席位。

韩文程的会议室-说话人01(00:43:19): 把他拉到的他的？

韩文程的会议室-说话人04(00:43:32): 他这边会选套餐嘛，或者额外付费什么买席位嘛，你你他你这边一买席位，你对应的也是租户这边席位加一也是 API 然后你这边席有席位分配的话，你也是调这个，其实咱就相当于是一个火山的镜像，你每一步操作都是调火山的对。

韩文程的会议室-说话人01(00:43:52): 这是我的逻辑，基本上也是我不管是用户信息同步就是所有的。所有我们现在流程都缺 API 就是我知道。

韩文程的会议室-说话人04(00:44:00): 我知道嘛，该管他要 API 嘛，你看你需要哪些 API 就管他要，但是真的没有什么用户同步这个过程，因为咱的同咱的用户就是对于就是咱自己，咱平台上的用户跟他是没有任何关系的，跟就是不咱不需要把咱这个用户是谁，比如说就是科森是什么企业，不需要跟这个租户对应起来，咱只需要咱这边知道这个企业是科森，咱只要跟租户的唯一的 id 对应在一块就行了。

韩文程的会议室-说话人01(00:44:28): 那你看他这个后台里边，你肯定你挂席位，他也是你得有人家都用户才能挂到这个实力上。但是我们刚才说的企微里边是有100位数，但是人家这里边没有你这个企微是分你分配到那个用户就是你。

韩文程的会议室-说话人04(00:44:44): 你不用管就是为什么，因为东西也是东西本身就是火山去创建，去拉去搞的嘛，你只是触发了这个东西。

韩文程的会议室-说话人01(00:44:55): 对因为他登录的时候才产生这个登录完之后，然后后边本来都你看登录完之后他是这样信息嘛，他是没有席位的，然后我登录完之后。

韩文程的会议室-说话人04(00:45:03): 然后不是你说具体的员工登录？

韩文程的会议室-说话人01(00:45:08): 对，然后登录之后才会产生那条信息，然后对。

韩文程的会议室-说话人04(00:45:10): OK 没问题，员工是纯粹和火山进行交互，跟咱一1毛钱关系都没有，员工登的那个页面就是刚就是李磊刚刚分享的那个页面是人火山做的，跟咱没关系！

韩文程的会议室-说话人01(00:45:21): 对是对，但是这因为这个席位的选择不是他登录完之后才能去绑那个席位。没有用户的职位。

韩文程的会议室-说话人04(00:45:29): 没有用户的席位，用户不是我这么跟你说，就是你你你还是点开你共享吧，你去你你共享一下，然后点开那个咱自己的那个页面。席位的分配不是这样的，我跟你说你点开不是咱那个阿阿阿克点那个 east up 点那个 AI。

韩文程的会议室-说话人02(00:45:54): 刚刚重新数一下。

韩文程的会议室-说话人03(00:45:59): 你刚才把域名改？

韩文程的会议室-说话人04(00:46:01): hello OK。不是你只是给了他用用什么用什么就是可以开什么版的一个权限而已。

韩文程的会议室-说话人01(00:46:13): 对这他比如说我新用户进到这一步的时候。

韩文程的会议室-说话人04(00:46:17): 你先进你先登。

韩文程的会议室-说话人01(00:46:18): 进到这一步的时候，SSO 我们是有用户，但是火山不是没有用户。

韩文程的会议室-说话人04(00:46:22): 你咱现在哪里支持验证码登录？

韩文程的会议室-说话人02(00:46:24): 你就知道。

韩文程的会议室-说话人04(00:46:25): 不支持。

韩文程的会议室-说话人01(00:46:26): 不是你用密码？

韩文程的会议室-说话人04(00:46:27): 密码的？

韩文程的会议室-说话人02(00:46:27): 我都不知道密码是啥不是。

韩文程的会议室-说话人01(00:46:29): 不是我的你176。3005。9303然后账号密码是一样，你复制一下就行，然后后面。他进来之后首先就是新用户，我进来的时候我到这个页面的时候，他才会初始化保存的信息。

韩文程的会议室-说话人04(00:46:52): 对嘛对。

韩文程的会议室-说话人01(00:46:53): 对嘛对，然后接下来他创建席位不是在这吗？

韩文程的会议室-说话人02(00:46:56): 我创建 cloud。

韩文程的会议室-说话人04(00:46:57): 对。

韩文程的会议室-说话人01(00:46:57): 对那这个流程的时候，其实用户比如说用户开了买了席位，我给这个用户，那他都没有登录，怎么去给他挂到这个席位上，就比如说我给这个企业里面，我给他开了一个。10个席位，然后10个用户，但是10个用户说我目前没绑定的对他目前。

韩文程的会议室-说话人04(00:47:10): 然后10个用户，但是10个用户说我目前没绑定，对他目前他登录之后再绑定。

韩文程的会议室-说话人01(00:47:16): 对他只有登录完之后，首先火山有身份的用户了。

韩文程的会议室-说话人04(00:47:20): 这跟咱没关系！

韩文程的会议室-说话人02(00:47:21): 这已经火车那边已经有。

韩文程的会议室-说话人04(00:47:23): 这个全流程都是火山的，因为用户看到就是这个界面，因为咱的用户看到也是这个界面跟咱的系统1毛钱关系都没有！

韩文程的会议室-说话人01(00:47:31): 我知道那在我们后台里面分配席位的逻辑是？

韩文程的会议室-说话人04(00:47:35): 咱没有分配席位的逻辑不是一样一样，就是怎么说，你看咱看火山是怎么分配席位的，因为咱所有的操作其实都是我说白了，咱所有的操作就咱就做了个跟火山一模一样的站，咱所有的操作其实都是在调 a 火山的接口去做的嘛，因为这些信息咱也能咱从火山那边也能拉下来，这咱所有的下行的数据都是从火山那边拉的，现在咱这边可以存一些额外的字段嘛，顶多咱这些列表也是从火山拉的，咱所有的操作也是最终去上传到火山的，顶多咱这边额外存一些镜像数据，存一些 auxiliary 的数据，额外的数据没问题，咱就是火山的一个，咱只给咱相当于给火山做了个咱自己的界面而已，最后所有的接口都调到火山的。

韩文程的会议室-说话人01(00:48:28): 这些所有的接口都是火的。

韩文程的会议室-说话人04(00:48:30): 咱这边可以额外存一些信息，额外存的信息我知道是所有的操作所有的 CURD 操作最终都是落到火山上。

韩文程的会议室-说话人01(00:48:31): 罗远存的信息我知道是可以。

韩文程的会议室-说话人04(00:48:38): 这个事很好办，你就相当于给他换了个界面，说白了。咱就套个壳，做个钓鱼网站就这么简单！

韩文程的会议室-说话人01(00:48:54): 那你先到我们系你到我们，你到你的设计那席位那里，然后有一下这个席位一。

韩文程的会议室-说话人04(00:49:02): 一样的！

韩文程的会议室-说话人01(00:49:02): 对首先是第一步，然后企业，然后所有的官网。

韩文程的会议室-说话人04(00:49:06): 所有的对所有东西拉下来也是从火山上拉的所有的操作也是往火山上去的。

韩文程的会议室-说话人01(00:49:07): 买完之后说的是这些吗？也是华山那边的华。

韩文程的会议室-说话人04(00:49:15): 好像拉的对！

韩文程的会议室-说话人01(00:49:16): 不是我们这边存的吗？我们可以存对我们买个交换机存。

韩文程的会议室-说话人04(00:49:18): 我们可以存对我们买个 java 的存，我们可以存，但是这就是在目前就是不是第一步，先是直接全都从他那拉可以。

韩文程的会议室-说话人01(00:49:26): 就是一个租户里边的信息？

韩文程的会议室-说话人04(00:49:28): 对你你现在现阶段全全都从头拉，后续我们比如说可以做一些币，比如我们比如说那个像这个席位咱不做任何的币，我说那个 coding plan 比如说，然后那个咱拉起来是8个，但咱这边存储说咱这边给他开通了10个，然后咱显示再咱再显示一下，咱给他创建两个假的嘛。

韩文程的会议室-说话人04(00:49:52): 那很简单嘛，因为因为我。

韩文程的会议室-说话人01(00:49:53): 我最开始理解所有这些信息是存在我们这一侧的。

韩文程的会议室-说话人04(00:49:57): 我们这里可以存一个镜像，但是所有的东西信息实际上都是他的。

韩文程的会议室-说话人01(00:50:00): 我都。

韩文程的会议室-说话人04(00:50:01): 他那儿的。

韩文程的会议室-说话人01(00:50:02): 因为因为因为最开始讲，一直以为这些信息全部都是我没必要。

韩文程的会议室-说话人04(00:50:05): 没必要，因为我们是在这个事上，我们是一个火山的服务商，我们最终就是就因为就只不过是我们的客用户和我们火山的用户，只有我们自己，然后我们的用户，我们封装成火，我们把火山给我们开的租户都封装成我们的用户而已，我们就做了钓鱼网站。

韩文程的会议室-说话人01(00:50:27): 这样说我理解，最开始的对一直都没有说清这个事情，所以说我就很。

韩文程的会议室-说话人04(00:50:28): 然后最开始的对。我跟你捋清楚，对这个事其实就是个钓鱼网站。

韩文程的会议室-说话人01(00:50:32): 对这个事其实就是个钓鱼网站，对所有都因为因为那这样就很清晰了，其实那火山里边因为我上午你的逻辑就是所有信息都是从我们这边怎么去调他那边，那其实因为上面可能就几个点，那所有这些所有的操作。都得去和我在那边钓一天。

韩文程的会议室-说话人04(00:50:49): 对他们那边就他们就这个页面用了哪些 API，咱就需要用哪些 API。

韩文程的会议室-说话人01(00:50:55): 对，然后这个东西就得让后台提供，但是现在就是涉及到，你看我上午才说了5个问题，然后适方都说不能透露，那如果说像这种全部对比成，那肯定都得。

韩文程的会议室-说话人04(00:51:06): 不用没有透露任何东西，这就是咱要跟他做的一样，因为这方面咱那咱给客户销售嘛，因为。

韩文程的会议室-说话人01(00:51:11): 对我们要对接 API 那需要他们提供对应的文档给我们出来。

韩文程的会议室-说话人04(00:51:15): 对这个东西可以跟他们说没问题，这个咱都跟他说的很明白，这个事就是嘛，咱把咱会把咱因为咱会把租户卖给别人了，这都是说的很明白没有任何异议了，都跟他说都要同步好了。

韩文程的会议室-说话人01(00:51:26): 那可能四方那边理解的都没有这个意思，现在我们大概说的调一遍说。

韩文程的会议室-说话人04(00:51:31): 没有是这样，就等着你跟火山这么沟通就行了，就是我们因为我们方便我们的客户进行操作嘛，因为这个你他们那边都对咱是租户，咱不可能让别人让咱的客户登上咱的账号就管理他的租户嘛，所以咱肯定要把这个租户封成咱自己平台上的客户，让用户去操作嘛，就这么简单，其实咱就做了他的镜像站，所有东西都调，就是咱的客户调的是咱的看着咱们这边，但咱调的是咱租户的这些。

韩文程的会议室-说话人01(00:52:01): 那就我可以直接给我都不需要，我就不需要隐藏任何的。

韩文程的会议室-说话人04(00:52:03): 直接把不需要隐藏任何东西现在。

韩文程的会议室-说话人01(00:52:07): 他知道我们做东西。

韩文程的会议室-说话人04(00:52:08): 他知道，反正这东西都是跟他们同步的，本来就是咱光明正大的这个事，没有任何的什么东西，咱现在还没做任何的小小心思，现在就光明正大的管他们要正儿八经的接口，咱现在没有做任何小心思。

韩文程的会议室-说话人02(00:52:23): 差不多。

韩文程的会议室-说话人04(00:52:24): 很清楚，很清晰，这个界面你得做的也对，就是把它那个界面扒下来就行了，因为一模一样的。

韩文程的会议室-说话人01(00:52:29): 一模一样的，然后他这我。

韩文程的会议室-说话人04(00:52:32): 一模一样的，唯一的区别就是他们现在没有租户系统，所以就看现在跟他长得一模一样，然后但以后他那上租户系统，咱这页面应该和他一个租户的页面长得一样？

韩文程的会议室-说话人01(00:52:44): 他因为企查查和对应的租户下边信息。

韩文程的会议室-说话人04(00:52:46): 就这么简单！

韩文程的会议室-说话人01(00:52:48): 那这样子我理。

